Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date,Min Price (Rs./kg),Max Price (Rs./kg),Model Price (Rs./kg)
1,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,5500,13000,9250,12-Dec-24,55,130,92.5
2,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,FAQ,8000,10000,9000,7-Nov-20,80,100,90
3,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,FAQ,10000,14000,12000,18-May-23,100,140,120
4,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,7000,9000,8000,4-Dec-24,70,90,80
5,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,FAQ,4000,11000,7500,5-Sep-21,40,110,75
6,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,FAQ,3500,8500,6000,13-Sep-21,35,85,60
7,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,FAQ,10000,15000,12500,26-Jun-21,100,150,125
8,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,FAQ,4000,7000,5500,18-Oct-22,40,70,55
9,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,FAQ,5500,9500,7500,26-Dec-21,55,95,75
10,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,FAQ,12000,15000,13500,25-Mar-23,120,150,135
11,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,FAQ,4500,10500,7500,11-Sep-21,45,105,75
12,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,8000,14000,11000,5-Nov-24,80,140,110
13,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,FAQ,3500,5000,4250,30-Oct-22,35,50,42.5
14,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,FAQ,13000,17000,15000,12-Jun-23,130,170,150
15,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,FAQ,10000,15000,12500,7-Apr-22,100,150,125
16,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,FAQ,6000,11000,8500,3-Oct-21,60,110,85
17,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,FAQ,13000,20000,16500,1-May-22,130,200,165
18,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,12000,17000,14500,28-Jan-25,120,170,145
19,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,8000,13000,10500,2-Jan-25,80,130,105
20,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,8000,10000,9000,26-Dec-24,80,100,90
21,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,FAQ,9000,14000,11500,19-Dec-20,90,140,115
22,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,FAQ,3500,10000,6750,8-Sep-21,35,100,67.5
23,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,FAQ,8000,12000,10000,13-Apr-21,80,120,100
24,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,FAQ,4500,6500,5500,2-Dec-20,45,65,55
25,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,FAQ,5000,18000,11500,21-Sep-23,50,180,115
26,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,FAQ,7000,16000,11500,11-Aug-21,70,160,115
27,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,12000,19000,15500,12-Mar-25,120,190,155
28,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,FAQ,7000,9000,8000,20-Feb-21,70,90,80
29,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,FAQ,4000,9000,6500,16-Aug-20,40,90,65
30,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,FAQ,9000,11000,10000,3-Nov-20,90,110,100
31,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,FAQ,9000,15000,12000,21-Jul-22,90,150,120
32,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,FAQ,8500,10000,9250,3-Feb-22,85,100,92.5
33,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,7200,10500,8850,12-Nov-24,72,105,88.5
34,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,10000,13000,11500,23-Feb-25,100,130,115
35,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,FAQ,3200,12000,7600,14-Sep-21,32,120,76
36,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,FAQ,9000,11000,10000,9-Feb-22,90,110,100
37,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,FAQ,5000,10000,7500,4-Aug-20,50,100,75
38,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,FAQ,7000,13000,10000,1-Feb-22,70,130,100
39,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,FAQ,3500,7500,5500,11-Oct-20,35,75,55
40,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,4000,11000,7500,11-Dec-24,40,110,75
41,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,FAQ,300,5000,4000,2-Nov-22,3,50,40
42,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,FAQ,4200,9500,6850,26-Aug-21,42,95,68.5
43,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,FAQ,5200,13000,9100,16-Sep-23,52,130,91
44,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,9000,15000,12000,2-Feb-25,90,150,120
45,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,FAQ,8000,12000,10000,29-Oct-20,80,120,100
46,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,7000,9000,8000,26-Oct-24,70,90,80
47,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,FAQ,5000,11000,8000,10-Sep-20,50,110,80
48,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,FAQ,300,4500,3750,8-Nov-22,3,45,37.5
49,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,FAQ,6500,14000,10250,17-Jan-22,65,140,102.5
50,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,FAQ,7000,10000,8500,14-Jan-21,70,100,85
51,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,FAQ,12000,16000,14000,25-Jul-21,120,160,140
52,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,FAQ,13000,16000,14500,15-Mar-22,130,160,145
53,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,FAQ,12000,18000,15000,3-Aug-23,120,180,150
54,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,FAQ,7500,9500,8500,4-Jan-22,75,95,85
55,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,FAQ,6000,10000,8000,25-Nov-20,60,100,80
