Sl_no,District_Name,Market_Name,Commodity,Variety,Grade,Min_Price,Max_Price,Price_Date,Modal_Price,Year,Month,Day,DayOfWeek,Quarter,Week,Price_Range,Price_Volatility,Price_Mid,Modal_vs_Mid,Is_Summer,Is_Monsoon,Is_Winter,Is_Peak_Season,Modal_Price_lag_1,Modal_Price_lag_3,Modal_Price_lag_7,Modal_Price_lag_15,Modal_Price_lag_30,Modal_Price_MA_3,Price_Range_MA_3,Modal_Price_MA_7,Price_Range_MA_7,Modal_Price_MA_15,Price_Range_MA_15,Modal_Price_MA_30,Price_Range_MA_30,Price_Trend_7,Price_Trend_30,Commodity_encoded,District_encoded,Market_encoded,Variety_encoded,Grade_encoded
35,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,6000,13000,2024-09-01,95.0,2024,9,1,6,3,35,7000,73.6842105263158,9500.0,-9405.0,0,1,0,0,,,,,,95.0,7000.0,95.0,7000.0,95.0,7000.0,95.0,7000.0,,,0,0,0,2,1
45,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,6500,13000,2024-09-04,97.5,2024,9,4,2,3,36,6500,66.66666666666667,9750.0,-9652.5,0,1,0,0,95.0,,,,,96.25,6750.0,96.25,6750.0,96.25,6750.0,96.25,6750.0,,,0,0,0,2,1
30,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,6000,10000,2024-09-07,80.0,2024,9,7,5,3,36,4000,50.0,8000.0,-7920.0,0,1,0,0,97.5,,,,,90.83333333333333,5833.333333333333,90.83333333333333,5833.333333333333,90.83333333333333,5833.333333333333,90.83333333333333,5833.333333333333,,,0,0,0,2,1
21,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,5500,9500,2024-09-08,75.0,2024,9,8,6,3,36,4000,53.333333333333336,7500.0,-7425.0,0,1,0,0,80.0,95.0,,,,84.16666666666667,4833.333333333333,86.875,5375.0,86.875,5375.0,86.875,5375.0,,,0,0,0,2,1
15,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,5000,11000,2024-09-09,80.0,2024,9,9,0,3,37,6000,75.0,8000.0,-7920.0,0,1,0,0,75.0,97.5,,,,78.33333333333333,4666.666666666667,85.5,5500.0,85.5,5500.0,85.5,5500.0,,,0,0,0,2,1
12,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,5000,9000,2024-09-11,70.0,2024,9,11,2,3,37,4000,57.142857142857146,7000.0,-6930.0,0,1,0,0,80.0,80.0,,,,75.0,4666.666666666667,82.91666666666667,5250.0,82.91666666666667,5250.0,82.91666666666667,5250.0,,,0,0,0,2,1
44,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,6500,11000,2024-09-12,87.5,2024,9,12,3,3,37,4500,51.42857142857143,8750.0,-8662.5,0,1,0,0,70.0,75.0,,,,79.16666666666667,4833.333333333333,83.57142857142857,5142.857142857143,83.57142857142857,5142.857142857143,83.57142857142857,5142.857142857143,,,0,0,0,2,1
39,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,6300,8500,2024-09-14,74.0,2024,9,14,5,3,37,2200,29.72972972972973,7400.0,-7326.0,0,1,0,0,87.5,80.0,95.0,,,77.16666666666667,3566.6666666666665,80.57142857142857,4457.142857142857,82.375,4775.0,82.375,4775.0,-21.0,,0,0,0,2,1
47,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,7000,9000,2024-09-17,80.0,2024,9,17,1,3,38,2000,25.0,8000.0,-7920.0,0,1,0,0,74.0,70.0,97.5,,,80.5,2900.0,78.07142857142857,3814.285714285714,82.11111111111111,4466.666666666667,82.11111111111111,4466.666666666667,-17.5,,0,0,0,2,1
9,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,4700,9500,2024-09-19,71.0,2024,9,19,3,3,38,4800,67.6056338028169,7100.0,-7029.0,0,1,0,0,80.0,87.5,80.0,,,75.0,3000.0,76.78571428571429,3928.5714285714284,81.0,4500.0,81.0,4500.0,-9.0,,0,0,0,2,1
14,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,5000,9000,2024-09-22,70.0,2024,9,22,6,3,38,4000,57.142857142857146,7000.0,-6930.0,0,1,0,0,71.0,74.0,75.0,,,73.66666666666667,3600.0,76.07142857142857,3928.5714285714284,80.0,4454.545454545455,80.0,4454.545454545455,-5.0,,0,0,0,2,1
3,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,3500,8500,2024-09-23,60.0,2024,9,23,0,3,39,5000,83.33333333333333,6000.0,-5940.0,0,1,0,0,70.0,80.0,80.0,,,67.0,4600.0,73.21428571428571,3785.714285714286,78.33333333333333,4500.0,78.33333333333333,4500.0,-20.0,,0,0,0,2,1
48,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,7000,9000,2024-09-24,80.0,2024,9,24,1,3,39,2000,25.0,8000.0,-7920.0,0,1,0,0,60.0,71.0,70.0,,,70.0,3666.6666666666665,74.64285714285714,3500.0,78.46153846153847,4307.692307692308,78.46153846153847,4307.692307692308,10.0,,0,0,0,2,1
71,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,8000,11000,2024-09-25,95.0,2024,9,25,2,3,39,3000,31.57894736842105,9500.0,-9405.0,0,1,0,0,80.0,70.0,87.5,,,78.33333333333333,3333.3333333333335,75.71428571428571,3285.714285714286,79.64285714285714,4214.285714285715,79.64285714285714,4214.285714285715,7.5,,0,0,0,2,1
16,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,5000,13000,2024-09-26,90.0,2024,9,26,3,3,39,8000,88.88888888888889,9000.0,-8910.0,0,1,0,0,95.0,60.0,74.0,,,88.33333333333333,4333.333333333333,78.0,4114.285714285715,80.33333333333333,4466.666666666667,80.33333333333333,4466.666666666667,16.0,,0,0,0,2,1
50,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,7000,9000,2024-09-28,80.0,2024,9,28,5,3,39,2000,25.0,8000.0,-7920.0,0,1,0,0,90.0,80.0,80.0,95.0,,88.33333333333333,4333.333333333333,78.0,4114.285714285715,79.33333333333333,4133.333333333333,80.3125,4312.5,0.0,,0,0,0,2,1
22,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,5500,9600,2024-09-29,75.5,2024,9,29,6,3,39,4100,54.3046357615894,7550.0,-7474.5,0,1,0,0,80.0,95.0,71.0,97.5,,81.83333333333333,4700.0,78.64285714285714,4014.285714285714,77.86666666666666,3973.3333333333335,80.02941176470588,4300.0,4.5,,0,0,0,2,1
42,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,6500,9500,2024-09-30,80.0,2024,9,30,0,3,40,3000,37.5,8000.0,-7920.0,0,1,0,0,75.5,90.0,70.0,80.0,,78.5,3033.3333333333335,80.07142857142857,3871.4285714285716,77.86666666666666,3906.6666666666665,80.02777777777777,4227.777777777777,10.0,,0,0,0,2,1
7,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,4500,7600,2024-10-02,60.5,2024,10,2,2,4,40,3100,51.239669421487605,6050.0,-5989.5,0,0,1,1,80.0,80.0,60.0,75.0,,72.0,3400.0,80.14285714285714,3600.0,76.9,3846.6666666666665,79.0,4168.421052631579,0.5,,0,0,0,2,1
53,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,7000,11000,2024-10-03,90.0,2024,10,3,3,4,40,4000,44.44444444444444,9000.0,-8910.0,0,0,1,1,60.5,75.5,80.0,80.0,,76.83333333333333,3366.6666666666665,81.57142857142857,3885.714285714286,77.56666666666666,3713.3333333333335,79.55,4160.0,10.0,,0,0,0,2,1
27,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,6000,7500,2024-10-05,67.5,2024,10,5,5,4,40,1500,22.22222222222222,6750.0,-6682.5,0,0,1,1,90.0,80.0,95.0,70.0,,72.66666666666667,2866.6666666666665,77.64285714285714,3671.4285714285716,77.4,3546.6666666666665,78.97619047619048,4033.3333333333335,-27.5,,0,0,0,2,1
20,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,5500,8500,2024-10-07,70.0,2024,10,7,0,4,41,3000,42.857142857142854,7000.0,-6930.0,0,0,1,1,67.5,60.5,90.0,87.5,,75.83333333333333,2833.3333333333335,74.78571428571429,2957.1428571428573,76.23333333333333,3446.6666666666665,78.56818181818181,3986.3636363636365,-20.0,,0,0,0,2,1
