Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Price Date,Modal Price (Rs./kg),Min Price ,Max price
1,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,1000,15000,12-Jan-25,125,10,150
2,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,3400,9700,24-Oct-24,65.5,34,97
3,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,3500,8500,23-Sep-24,60,35,85
4,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,3500,9500,9-Dec-24,65,35,95
5,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,4000,11000,11-Dec-24,75,40,110
6,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,4000,13000,17-Dec-24,105,40,130
7,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,4500,7600,2-Oct-24,60.5,45,76
8,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,4500,13000,14-Dec-24,87.5,45,130
9,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,4700,9500,19-Sep-24,71,47,95
10,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,5000,7000,2-Nov-24,60,50,70
11,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,5000,9000,10-Dec-24,70,50,90
12,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,5000,9000,11-Sep-24,70,50,90
13,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,5000,9000,13-Oct-24,70,50,90
14,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,5000,9000,22-Sep-24,70,50,90
15,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,5000,11000,9-Sep-24,80,50,110
16,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,5000,13000,26-Sep-24,90,50,130
17,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,5000,16000,19-Nov-24,105,50,160
18,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,5200,12000,21-Oct-24,86,52,120
19,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,5200,14000,13-Nov-24,96,52,140
20,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,5500,8500,7-Oct-24,70,55,85
21,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,5500,9500,8-Sep-24,75,55,95
22,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,5500,9600,29-Sep-24,75.5,55,96
23,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,5500,11000,29-Oct-24,82.5,55,110
24,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,5500,13000,12-Dec-24,92.5,55,130
25,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,5500,14000,9-Nov-24,97.5,55,140
26,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,5500,17000,4-Jan-25,112.5,55,170
27,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,6000,7500,5-Oct-24,67.5,60,75
28,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,6000,8000,31-Oct-24,70,60,80
29,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,6000,8500,27-Oct-24,72.5,60,85
30,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,6000,10000,7-Sep-24,80,60,100
31,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,6000,11000,10-Nov-24,85,60,110
32,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,6000,11000,11-Nov-24,85,60,110
33,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,6000,12000,9-Oct-24,90,60,120
34,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,6000,12000,21-Jan-25,90,60,120
35,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,6000,13000,1-Sep-24,95,60,130
36,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,6000,13000,4-Nov-24,95,60,130
37,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,6000,13000,14-Nov-24,95,60,130
38,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,6000,13000,17-Nov-24,95,60,130
39,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,6300,8500,14-Sep-24,74,63,85
40,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,6400,8500,10-Oct-24,74.5,64,85
41,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,6500,9500,12-Oct-24,80,65,95
42,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,6500,9500,30-Sep-24,80,65,95
43,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,6500,10500,17-Oct-24,85,65,105
44,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,6500,11000,12-Sep-24,87.5,65,110
45,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,6500,13000,4-Sep-24,97.5,65,130
46,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,7000,9000,4-Dec-24,80,70,90
47,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,7000,9000,17-Sep-24,80,70,90
48,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,7000,9000,24-Sep-24,80,70,90
49,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,7000,9000,26-Oct-24,80,70,90
50,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,7000,9000,28-Sep-24,80,70,90
51,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,7000,10000,23-Dec-24,85,70,100
52,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,7000,11000,3-Feb-25,90,70,110
53,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,7000,11000,3-Oct-24,90,70,110
54,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,7000,11000,15-Oct-24,90,70,110
55,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,7000,11000,28-Dec-24,90,70,110
56,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,7000,11000,28-Oct-24,90,70,110
57,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,7000,12000,20-Oct-24,95,70,120
58,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,7000,12000,30-Oct-24,95,70,120
59,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,7000,13000,21-Nov-24,100,70,130
60,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,7000,14000,25-Feb-25,105,70,140
61,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,7000,14000,30-Jan-25,105,70,140
62,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,7000,15000,23-Jul-25,110,70,150
63,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,7200,10500,12-Nov-24,88.5,72,105
64,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,7500,13000,28-Nov-24,102.5,75,130
65,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,8000,9000,8-Dec-24,85,80,90
66,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,8000,9000,18-Feb-25,85,80,90
67,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,8000,10000,2-Dec-24,90,80,100
68,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,8000,10000,7-Dec-24,90,80,100
69,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,8000,10000,26-Dec-24,90,80,100
70,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,8000,11000,9-Feb-25,95,80,110
71,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,8000,11000,25-Sep-24,95,80,110
72,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,8000,12000,22-Feb-25,100,80,120
73,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,8000,13000,2-Jan-25,105,80,130
74,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,8000,13000,16-Nov-24,105,80,130
75,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,8000,13000,19-Oct-24,105,80,130
76,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,8000,14000,5-Nov-24,110,80,140
77,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,8000,14000,15-Dec-24,110,80,140
78,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,8000,15000,24-Jul-25,115,80,150
79,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,8000,16000,22-Dec-24,120,80,160
80,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,8700,10000,7-Nov-24,93.5,87,100
81,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,9000,10000,23-Oct-24,95,90,100
82,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,9000,12000,20-Nov-24,105,90,120
83,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,9000,13000,18-Dec-24,110,90,130
84,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,9000,14000,22-Oct-24,115,90,140
